Player,Ratings,Salaries,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,2P,2PA,2P_perc,eFG,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
John Henson,75,"$5,846,154",PF,29,DET,40,8,15,2.4,4.3,0.556,0.2,0.9,0.222,2.2,3.4,0.644,0.579,0.6,1.2,0.5,1.2,2.9,4.1,1.4,0.6,1.1,0.9,2,5.5
Shabazz Napier,75,"$5,500,000",PG,28,WAS,51,30,24.2,3.3,8.1,0.412,1.4,4.4,0.32,1.9,3.7,0.518,0.498,2.3,2.8,0.823,0.5,2.4,2.9,5,1.3,0.2,2.2,1.8,10.3
Kent Bazemore,75,"$2,875,000",SF-SG,30,SAC,64,21,25.1,2.9,7.7,0.374,1.2,3.6,0.342,1.7,4.2,0.401,0.453,1.7,2.2,0.768,0.4,4,4.3,1.3,1.1,0.6,1.3,2.8,8.7
James Johnson,75,"$2,500,000",PF,32,MIN,32,1,19.3,3.2,6.7,0.479,1,2.8,0.363,2.2,3.9,0.565,0.556,1,1.5,0.646,0.8,2.9,3.7,2.3,0.8,1,1.5,2.5,8.4
Markieff Morris,75,"$1,845,301",PF,30,LAL,52,16,21.3,3.6,8.2,0.445,1.6,4,0.386,2.1,4.1,0.502,0.54,1.3,1.6,0.783,0.7,3.2,3.8,1.4,0.5,0.3,1.4,2.3,10.1
Chandler Parsons,74,"$25,102,512",SF,31,ATL,5,0,10.8,1,3.6,0.278,0.8,2.8,0.286,0.2,0.8,0.25,0.389,0,0,,0.2,1.2,1.4,0.6,0.8,0.2,0.6,0.6,2.8
Robert Williams,74,"$1,937,520",C,22,BOS,23,1,14,1.8,2.7,0.677,0,0,,1.8,2.7,0.677,0.677,0.6,1.1,0.56,1.5,3.2,4.7,1,0.9,1.2,0.9,1.7,4.3
Denzel Valentine,74,"$3,377,568",SF,26,CHI,36,5,13.6,2.7,6.6,0.409,1.3,3.8,0.336,1.4,2.8,0.51,0.506,0.2,0.2,0.75,0.3,1.8,2.1,1.2,0.7,0.2,0.7,1.4,6.8
Justin Jackson,74,"$3,280,920",PF,24,DAL,58,2,16,2.1,5.4,0.399,0.8,2.6,0.298,1.4,2.8,0.494,0.471,0.6,0.8,0.818,0.5,2,2.4,0.8,0.2,0.2,0.2,1,5.7
Maxi Kleber,74,"$8,000,000",C,28,DAL,66,21,25.7,3.2,7.1,0.459,1.6,4.3,0.374,1.6,2.7,0.594,0.574,1,1.2,0.863,1.5,3.9,5.4,1.2,0.3,1.2,0.7,2.3,9.2
Seth Curry,74,"$7,461,380",SG,29,DAL,59,20,24.5,4.5,9,0.5,2.3,5.1,0.453,2.2,3.9,0.56,0.628,1.3,1.5,0.841,0.4,1.9,2.4,2,0.6,0.1,1,1.7,12.6
Torrey Craig,74,"$2,000,000",SF,29,DEN,50,19,17.4,1.9,4.2,0.462,0.7,2.2,0.33,1.2,2,0.606,0.548,0.4,0.6,0.645,1,2.2,3.1,0.7,0.4,0.6,0.4,2.2,5
Christian Wood,74,"$1,645,357",PF,24,DET,62,12,21.4,4.6,8.2,0.567,0.9,2.3,0.386,3.8,5.9,0.636,0.62,2.9,3.9,0.744,1.7,4.6,6.3,1,0.5,0.9,1.4,1.6,13.1
Doug McDermott,74,"$1,620,564",PF,28,IND,62,0,20,3.9,7.9,0.491,1.9,4.3,0.445,2,3.6,0.544,0.611,0.7,0.8,0.827,0.4,2.1,2.5,1.1,0.1,0.1,0.6,1.7,10.4
Quinn Cook,74,"$7,333,333",PG,26,LAL,38,0,10.8,2,4.6,0.439,0.7,1.7,0.379,1.3,2.8,0.477,0.512,0.2,0.2,0.667,0.2,0.9,1.1,1.1,0.3,0,0.7,0.6,4.8
Kyle Anderson,74,"$3,000,000",PF,26,MEM,59,20,19.3,2.3,4.7,0.493,0.3,1.1,0.258,2.1,3.7,0.56,0.521,0.7,1.1,0.652,0.9,3.4,4.4,2.2,0.8,0.5,0.9,1.4,5.7
Dillon Brooks,74,"$9,073,050",SG,24,MEM,65,65,28.5,5.7,14.2,0.402,2,5.5,0.369,3.7,8.7,0.423,0.474,2.2,2.7,0.809,0.9,2.3,3.3,2,0.9,0.4,1.7,3.8,15.7
Pat Connaughton,74,"$1,618,520",SG,27,MIL,61,1,18.3,2,4.3,0.456,0.7,2.2,0.321,1.2,2,0.605,0.54,0.4,0.6,0.75,0.9,3.3,4.2,1.6,0.3,0.5,0.8,1,5.1
Jaxson Hayes,74,"$1,723,050",C,19,NOP,56,12,17,2.8,4.2,0.66,0,0.1,0.25,2.8,4.1,0.667,0.662,1.9,3.1,0.63,1.5,2.5,4,0.9,0.4,0.9,0.7,2.5,7.5
E'Twaun Moore,74,"$4,862,040",SG,30,NOP,51,5,18.8,3.4,8,0.424,1.2,3.1,0.375,2.2,4.9,0.456,0.498,0.6,0.8,0.674,0.6,1.8,2.4,1.4,0.5,0.2,0.7,1.5,8.6
Reggie Bullock,74,"$8,664,928",SG,28,NYK,29,19,23.6,3.1,7.7,0.402,1.3,3.8,0.333,1.8,3.9,0.469,0.484,0.6,0.7,0.81,0.4,1.9,2.3,1.4,0.9,0.1,0.7,1.9,8.1
Khem Birch,74,"$4,000,000",C,27,ORL,40,24,19.4,1.4,2.9,0.487,0,0,0,1.4,2.9,0.491,0.487,1,1.7,0.612,1.8,2.8,4.5,0.9,0.4,0.5,0.6,1.8,3.8
Markelle Fultz,74,"$3,000,000",PG,21,ORL,64,59,28.3,5,10.6,0.473,0.5,1.8,0.254,4.5,8.7,0.52,0.496,1.6,2.2,0.723,0.5,2.8,3.3,5.2,1.3,0.2,2,2,12.1
Kyle O'Quinn,74,"$9,745,200",C,29,PHI,26,1,9.9,1.3,2.8,0.486,0.3,0.9,0.304,1.1,1.9,0.571,0.535,0.4,0.7,0.526,1.2,2.5,3.8,1.3,0.2,0.8,0.7,1.3,3.3
Tyler Johnson,74,"$2,174,318",SG,27,PHO,31,3,16.6,2.1,5.5,0.38,0.8,2.7,0.289,1.3,2.8,0.466,0.45,0.8,1,0.75,0.3,1.4,1.7,1.6,0.4,0.3,0.8,1.4,5.7
Cheick Diallo,74,"$1,882,867",C,23,PHO,44,2,10.6,2,3.1,0.65,0,0,0.5,2,3.1,0.652,0.653,0.7,0.8,0.865,0.6,2.3,2.9,0.5,0.2,0.3,0.7,1.2,4.8
Zach Collins,74,"$19,245,370",PF,22,POR,3,3,28.7,3,6.3,0.474,1,2.3,0.429,2,4,0.5,0.553,2,2,1,1.3,2.7,4,2,0,0.7,2,3.7,9
Yogi Ferrell,74,"$1,678,854",PG,26,SAC,44,0,11,1.5,3.8,0.396,0.4,1.6,0.275,1.1,2.3,0.48,0.453,0.7,0.8,0.865,0.1,1,1.1,1.3,0.3,0.1,0.6,0.7,4.2
Cory Joseph,74,"$4,240,200",PG,28,SAC,64,22,24,2.4,5.8,0.42,0.7,2.1,0.351,1.7,3.7,0.46,0.484,0.8,0.9,0.828,0.6,2,2.5,3.4,0.7,0.3,1,1.9,6.3
Harry Giles,74,"$3,150,000",PF,21,SAC,38,17,15.2,3.1,5.4,0.56,0,0,,3.1,5.4,0.56,0.56,0.9,1.1,0.767,0.9,3.3,4.2,1.3,0.6,0.4,0.9,2.6,7
Norman Powell,74,"$12,000,000",SG,26,TOR,44,23,28.8,5.9,11.7,0.502,2.1,5.4,0.398,3.8,6.4,0.589,0.593,2.5,3,0.838,0.5,3.1,3.7,1.8,1.3,0.4,1.5,2.1,16.4
Jordan Bell,74,"$2,578,800",C-PF,25,HOU,29,0,8.8,1.2,2.3,0.522,0.1,0.4,0.333,1.1,1.9,0.564,0.552,0.7,1.1,0.613,1,1.8,2.8,0.6,0.1,0.3,0.7,0.7,3.2
Glenn Robinson III,74,"$10,116,576",SF,26,PHI,60,52,29.1,4.7,9.6,0.486,1.2,3.2,0.387,3.5,6.5,0.535,0.55,1.2,1.4,0.867,1.3,3,4.3,1.6,0.9,0.3,0.9,1.6,11.8
Rui Hachimura,74,"$4,469,160",PF,21,WAS,41,41,29.7,5.3,11.1,0.478,0.5,1.8,0.274,4.8,9.3,0.517,0.5,2.2,2.7,0.829,1.5,4.5,6,1.7,0.8,0.2,1,2.2,13.4
Evan Turner,73,"$18,606,556",PG,31,ATL,19,0,13.2,1.3,3.5,0.373,0,0.3,0,1.3,3.3,0.403,0.373,0.6,0.7,0.857,0.4,1.6,2,2,0.5,0.4,1.4,1.1,3.3
